MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,42.346352,57.653648,0,7.101144,92.898856,0.221192,55.851399,43.927409,5.463549,25.342931,69.19352,0.376088,68.682695,30.941217,0,3.729217,96.270783,0.156442,45.990331,53.853227,5.111946,24.715026,70.173027,2.007624,57.735617,40.256759,61.271308,18.958959,19.769733,56.851551,36.277193,6.871256,55.682941,26.038949,18.27811,6.239831,80.254392,13.505777,56.533107,20.588955,22.877937,50.039003,40.583758,9.37724,53.199059,27.178669,19.622271
3.746586,74.621389,21.632025,15.291288,28.024351,56.684362,14.425493,73.607052,11.967455,1.968232,32.244613,65.787155,22.782356,76.82706,0.390584,8.972923,28.698942,62.328135,4.386515,73.656141,21.957343,3.128623,24.694465,72.176912,2.510192,65.301649,32.188159,66.524411,27.41352,6.062069,62.649345,35.947232,1.403423,52.807663,40.222461,6.969876,3.4273,77.867497,18.705202,56.124631,33.017269,10.8581,53.736073,44.275708,1.988219,46.379357,43.066339,10.554304
10.225508,88.691849,1.082642,21.351606,30.215224,48.43317,37.392392,62.607608,0,0,94.304947,5.695053,28.162926,71.623232,0.213842,9.642055,20.776805,69.58114,15.70779,84.29221,0,0,48.618009,51.381991,25.415103,54.661198,19.923698,67.821286,31.260657,0.918057,75.232658,22.88715,1.880193,23.886428,70.728848,5.384724,21.921995,54.98968,23.088326,46.143719,51.470794,2.385488,51.233323,46.48634,2.280337,13.952855,75.458624,10.588521
14.536332,85.463668,0,13.036709,76.451468,10.511823,9.359035,90.640965,0,0,99.857321,0.142679,2.784849,91.785821,5.42933,3.622162,36.344884,60.032954,0.27702,99.72298,0,0,79.398809,20.601191,38.878982,47.878944,13.242073,36.628979,61.06244,2.308581,53.236885,44.632734,2.130381,4.148304,88.620704,7.230992,34.711256,48.450048,16.838695,11.251018,86.209841,2.539142,24.320119,72.4475,3.232381,2.399044,84.754428,12.846528
8.791712,91.208288,0,11.222754,88.777246,0,0.305327,99.694673,0,0,100,0,0,100,0,2.771267,82.762767,14.465966,0,100,0,0,100,0,45.162697,47.812374,7.024928,8.247673,90.310266,1.442061,25.953931,71.803785,2.242283,2.496239,93.878033,3.625728,35.709639,53.561034,10.729327,7.495865,90.603836,1.900299,19.931485,77.949128,2.119387,2.817318,92.000501,5.182181
0.088315,99.911685,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,49.340566,40.311113,10.348321,20.777535,77.736773,1.485691,36.668103,62.568588,0.763309,5.921745,85.966,8.112255,42.48398,46.896985,10.619036,20.679008,77.490134,1.830858,33.865077,64.504343,1.630581,7.403171,85.006345,7.590484
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,58.564773,35.050829,6.384397,24.418445,72.780538,2.801016,53.395157,46.387668,0.217175,4.939365,90.365238,4.695396,50.255908,40.581543,9.162549,25.104291,70.894574,4.001135,49.093882,50.197802,0.708316,3.745526,91.375273,4.879201
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,68.644817,30.365542,0.989641,30.370176,65.964126,3.665698,61.338408,37.968972,0.69262,18.575634,78.853229,2.571137,60.196099,37.826692,1.977209,37.670514,58.25002,4.079466,59.690271,39.880492,0.429237,11.674231,84.322942,4.002827
