MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
2.324522,33.594174,64.081304,0,0,100,23.734617,9.975102,66.290281,34.430301,10.127777,55.441921,3.412503,32.760095,63.827402,0,0,100,23.089009,11.634007,65.276985,33.831433,9.992332,56.176236,15.592777,31.853386,52.553837,48.203381,22.58555,29.21107,54.145154,16.46741,29.387436,66.09134,17.781396,16.127264,16.371786,32.762401,50.865813,52.246186,20.587586,27.166228,55.789903,16.589571,27.620526,69.151274,15.592628,15.256098
9.164612,63.439854,27.395533,0,0.528996,99.471004,22.485279,32.653045,44.861676,34.62957,8.80907,56.56136,8.703131,65.772083,25.524786,0,0.774556,99.225444,22.485279,36.490461,41.024261,34.62957,8.80907,56.56136,61.328225,25.940789,12.730986,32.386089,19.089551,48.52436,51.793915,21.240529,26.965556,58.22547,19.718817,22.055713,59.941773,26.13981,13.918417,34.989272,18.36018,46.650548,53.603064,21.20275,25.194186,60.553066,18.987959,20.458975
41.30329,54.15717,4.53954,0,2.533624,97.466376,29.759153,66.360221,3.880626,38.709831,13.445361,47.844808,46.191679,51.495509,2.312811,0,3.67379,96.32621,30.227569,66.56722,3.205211,38.172387,14.097161,47.730452,93.294634,5.987204,0.718162,15.796329,23.452276,60.751395,48.367927,28.025684,23.606389,48.988177,27.095029,23.916795,93.1874,6.063382,0.749219,16.64658,24.79446,58.55896,48.965748,29.18698,21.847272,50.679158,26.561509,22.759333
54.138581,36.150783,9.710636,0,5.654684,94.345316,42.969189,57.030811,0,57.289589,17.637881,25.07253,53.215907,39.768092,7.016001,0,6.148773,93.851227,43.769797,56.230203,0,55.587414,20.10189,24.310696,91.468817,8.353197,0.177986,17.966959,30.088918,51.944123,67.431043,26.635446,5.933511,56.84553,27.918302,15.236168,91.216252,8.605763,0.177986,18.729699,32.623988,48.646312,67.819558,26.585153,5.595289,56.955914,28.736756,14.30733
36.049344,58.41906,5.531596,0,8.255992,91.744008,32.766487,60.915773,6.31774,61.217689,36.478802,2.303508,30.050744,64.005337,5.943919,0,8.804075,91.195925,32.859481,61.617086,5.523434,55.6577,42.444997,1.897303,85.581637,13.601952,0.816411,44.940943,33.405768,21.653289,83.03293,16.174527,0.792543,50.185264,45.763107,4.051628,85.247289,14.004067,0.748644,46.859156,33.407487,19.733356,82.722982,16.552682,0.724337,51.682162,44.606059,3.711779
8.93337,89.775539,1.291091,0,67.559696,32.440304,9.864868,90.135132,0,36.771144,63.228856,0,5.254429,94.002779,0.742792,0,70.941862,29.058138,8.717316,91.282684,0,30.715327,69.284673,0,76.621611,22.158412,1.219977,62.505338,36.327672,1.166991,67.325726,30.608609,2.065665,26.581749,70.419753,2.998498,74.851629,24.216654,0.931716,64.720275,34.36808,0.911645,67.122584,31.08682,1.790597,25.852001,70.985569,3.162431
0,100,0,0,92.82395,7.17605,0,100,0,7.950247,92.049753,0,0,100,0,0,94.825951,5.174049,0,100,0,3.507321,96.492679,0,65.200972,32.991654,1.807374,39.1613,59.010237,1.828463,53.95809,41.967307,4.074603,44.234193,50.505906,5.259902,65.667763,33.314637,1.0176,40.036261,58.168113,1.795626,53.797247,41.727302,4.475451,44.047218,50.90317,5.049613
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,64.440747,33.313964,2.245288,47.846102,45.068433,7.085465,75.135611,24.57427,0.290119,66.281356,26.259875,7.458769,64.269056,33.600699,2.130245,49.954835,44.537089,5.508076,75.176172,24.533709,0.290119,65.689619,26.919055,7.391326
