MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
1.098019,21.412895,77.489085,0,0,100,25.146778,25.916814,48.936408,43.362274,5.844354,50.793372,0.451389,18.327057,81.221554,0,0.428624,99.571376,24.492152,26.437054,49.070794,42.778878,6.515917,50.705205,16.464692,37.743923,45.791385,10.265859,29.546101,60.18804,29.242133,35.215166,35.542701,39.856471,20.614161,39.529368,15.620326,34.088797,50.290877,15.607772,33.926389,50.465839,28.129074,39.394245,32.476681,43.944173,21.543561,34.512266
15.799997,28.74254,55.457462,0,0.192798,99.807202,46.76297,34.831954,18.405076,30.507949,5.008582,64.483469,14.838425,23.259551,61.902024,0,0.715886,99.284114,48.515406,36.32155,15.163044,31.294682,5.117325,63.587993,27.111247,48.491237,24.397516,11.200784,32.330624,56.468592,35.943788,45.72884,18.327372,26.19201,27.515456,46.292535,23.413406,46.048225,30.538369,14.828128,37.487128,47.684744,38.179043,47.820941,14.000016,29.484002,30.38824,40.127758
30.039566,58.380026,11.580408,0,0.698861,99.301139,84.175896,15.547789,0.276315,21.052775,12.135766,66.81146,25.762539,58.971713,15.265747,0,1.205017,98.794983,86.195157,13.804843,0,22.925964,11.191781,65.882255,66.545853,28.57586,4.878286,8.064166,12.666679,79.269155,60.716901,32.80044,6.48266,20.52618,28.567445,50.906375,61.243233,30.642468,8.114299,9.193211,17.854913,72.951876,63.674279,32.05823,4.26749,25.015022,31.337118,43.64786
49.188,47.0364,3.7756,0,4.342462,95.657538,94.456649,5.543351,0,38.25062,20.959021,40.79036,46.863176,47.892362,5.244462,0,6.196136,93.803864,95.181657,4.818343,0,42.714999,18.100169,39.184831,84.638748,14.43247,0.928782,13.95587,16.426635,69.617494,72.221008,26.02647,1.752522,23.113838,41.878072,35.00809,82.552856,16.200573,1.24657,15.042049,23.177385,61.780565,75.806193,23.087954,1.105853,27.839917,44.278466,27.881617
24.533551,74.631305,0.835144,0.604472,17.779521,81.616007,75.168455,24.64386,0.187685,37.805839,47.511473,14.682689,36.571364,63.428636,0,1.470334,19.025788,79.503878,70.412194,29.400121,0.187685,53.628428,36.362155,10.009418,87.75749,12.145462,0.097048,33.657825,35.73871,30.603465,64.43939,31.48752,4.073091,20.700893,69.079906,10.219201,87.492712,12.41024,0.097048,36.371229,39.971449,23.657322,71.150213,25.15825,3.691537,24.653954,69.854173,5.491873
3.452021,96.547979,0,0.291194,73.517093,26.191713,27.653705,71.708713,0.637581,20.78962,79.21038,0,20.572824,79.427176,0,0.839221,86.222104,12.938674,31.137547,68.642465,0.219988,42.854791,57.145209,0,82.907995,16.77082,0.321185,48.446983,47.460423,4.092594,53.706511,45.161087,1.132401,18.141598,59.127876,22.730525,84.671049,14.957103,0.371847,54.31466,43.431279,2.25406,62.971158,35.883537,1.145305,21.379441,57.395589,21.22497
0,100,0,0,98.616861,1.383139,6.436337,93.563663,0,0.342043,99.657957,0,0.124373,99.875627,0,0,100,0,9.977851,90.022149,0,27.956425,72.043575,0,76.833005,23.166995,0,31.942261,62.821057,5.236682,67.387933,32.136157,0.47591,24.495267,49.825082,25.679651,77.83998,22.16002,0,37.140387,58.571343,4.288269,70.189327,29.357906,0.452767,31.637658,46.609977,21.752364
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1.226707,98.773293,0,61.010447,38.101795,0.887758,35.958235,54.650432,9.391333,65.745658,33.552436,0.701906,52.412419,36.054296,11.533285,61.167294,37.872248,0.960458,39.687921,52.046433,8.265646,67.951187,31.339433,0.709381,63.937811,25.382577,10.679612
