MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
1.104541,68.838595,30.056864,1.125328,31.509965,67.364707,1.288239,75.799823,22.911938,16.722669,28.312931,54.9644,0.835327,56.910173,42.2545,6.670887,37.439733,55.88938,1.851229,75.537076,22.611695,17.918031,36.190713,45.891255,7.613818,60.124929,32.261253,38.997109,27.050967,33.951923,13.437999,49.131369,37.430633,37.775261,35.928281,26.296458,5.9041,55.94648,38.14942,44.294331,24.995436,30.710233,14.188175,53.698536,32.11329,42.836872,33.596544,23.566584
0.874956,88.590835,10.534209,0,26.882185,73.117815,3.408785,93.337821,3.253394,1.520373,50.43074,48.048887,0.456606,61.093855,38.449539,0,44.277318,55.722682,6.190934,91.899188,1.909878,3.908054,62.588365,33.503581,4.942516,74.57274,20.484744,26.69983,68.725988,4.574182,16.809108,66.003779,17.187113,15.659142,65.420164,18.920694,4.729385,61.049517,34.221098,39.677451,56.729822,3.592726,22.241086,64.15,13.608914,23.846378,61.715131,14.438491
13.994555,86.005445,0,0,68.711463,31.288537,30.420809,69.579191,0,0.644427,88.921012,10.434561,12.086093,62.864593,25.049314,0,88.211351,11.788649,43.518938,56.481062,0,3.30081,92.813651,3.885538,21.28476,55.062276,23.652964,6.062186,92.970433,0.967381,15.825406,80.123464,4.05113,3.143412,78.778073,18.078515,17.875367,52.391606,29.733027,23.25423,75.97975,0.76602,27.751902,68.763794,3.484304,14.934915,71.522669,13.542417
13.429678,84.57338,1.996942,0,86.911973,13.088027,13.603503,86.396497,0,0,100,0,19.751272,79.029034,1.219695,0,93.78981,6.21019,16.874852,83.125148,0,1.15131,98.84869,0,42.986733,40.121116,16.892152,4.110409,94.907897,0.981695,7.641714,86.840554,5.517732,0.262116,81.748896,17.988989,38.795446,42.271754,18.932801,8.67927,90.623976,0.696754,13.117974,82.263628,4.618397,0.86483,86.237338,12.897832
9.604114,90.395886,0,0,99.110434,0.889566,0,100,0,0,100,0,27.603069,72.396931,0,0,100,0,0,100,0,0.543224,99.456776,0,55.48636,38.948197,5.565443,3.787994,94.821418,1.390588,14.445658,80.030646,5.523696,1.825369,90.792032,7.382599,57.152609,37.776499,5.070892,7.111262,91.752087,1.136651,16.229038,78.722545,5.048417,2.672493,91.504243,5.823265
0.614284,99.385716,0,0,100,0,0,100,0,0,100,0,10.927325,89.072675,0,0,100,0,0,100,0,0.251411,99.748589,0,48.104776,49.849969,2.045255,7.437885,88.262209,4.299906,40.272161,59.145564,0.582275,2.441688,74.933745,22.624567,48.382823,49.097039,2.520137,8.078502,88.244873,3.676625,42.147016,57.397025,0.455959,3.372186,74.919239,21.708575
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,51.714601,46.19365,2.09175,20.098011,70.19416,9.70783,52.597646,47.153903,0.248451,7.219375,59.571405,33.20922,51.975924,46.06026,1.963817,20.690337,71.007172,8.302491,53.160199,46.564189,0.275612,8.429461,59.867223,31.703316
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,35.22126,63.018696,1.760044,25.508476,48.662505,25.829019,53.908967,45.525225,0.565807,20.592848,57.223203,22.183949,35.424976,63.011155,1.563869,26.619584,49.908629,23.471786,53.999559,45.477459,0.522982,21.641983,60.196631,18.161386
