MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
0,20.360632,79.639368,0,0,100,19.15581,16.718507,64.125683,20.813664,26.092298,53.094039,0,22.429262,77.570738,0,0,100,18.813815,18.300592,62.885593,18.512092,23.223541,58.264366,3.377441,32.430496,64.192062,0.847852,10.078406,89.073741,14.565795,29.729962,55.704243,19.314323,17.388203,63.297474,4.747272,35.38006,59.872669,0.755098,10.238933,89.005969,13.706586,29.481274,56.81214,16.714463,18.843496,64.442041
6.716245,24.926055,68.3577,0,0,100,25.248419,23.82224,50.929341,19.224271,8.975263,71.800466,0,32.388243,67.611757,0,0,100,22.748241,25.3867,51.865059,7.76048,19.72925,72.510271,12.295661,45.938576,41.765763,3.753339,10.1684,86.078261,7.417358,45.21794,47.364702,9.120825,26.743551,64.135624,10.422943,51.561482,38.015575,3.846836,10.596517,85.556648,5.950845,44.767141,49.282014,5.986595,27.079173,66.934231
13.423341,24.232183,62.344476,0,1.873962,98.126038,51.364453,37.738977,10.89657,22.39316,23.384709,54.222131,9.392147,39.137708,51.470145,0,2.323158,97.676842,47.088399,41.865018,11.046584,6.102608,37.031732,56.86566,25.709066,52.410466,21.880468,3.581496,6.332002,90.086501,14.317712,55.83672,29.845568,13.122882,30.022701,56.854416,25.294853,51.394474,23.310673,3.683222,6.821141,89.495637,13.542676,55.704194,30.75313,13.726413,26.784349,59.489238
10.836427,64.11989,25.043683,0.102974,4.431314,95.465712,48.590603,51.409397,0,37.840862,31.007059,31.152079,0.983914,87.706475,11.30961,0.102974,5.914736,93.98229,46.162436,53.837564,0,4.127534,59.792007,36.080459,43.778565,43.19313,13.028305,7.336598,14.241596,78.421805,17.892067,71.614058,10.493875,17.406986,48.016824,34.57619,34.592932,49.684382,15.722686,7.67116,14.851018,77.477822,19.073168,70.625544,10.301287,18.494827,44.416745,37.088428
2.905984,97.041063,0.052954,0,8.578494,91.421506,1.344077,98.655923,0,32.264825,60.357482,7.377693,0,99.918208,0.081792,0,8.448224,91.551776,1.255683,98.744317,0,0,88.333709,11.666291,66.285926,32.411722,1.302352,24.355945,37.260967,38.383088,30.613896,68.660758,0.725346,26.091374,60.942407,12.966219,45.101719,49.376429,5.521852,25.716776,36.751613,37.531611,30.957105,68.257481,0.785413,26.152868,59.054453,14.792679
0,100,0,0,31.564976,68.435024,0,100,0,21.857711,78.142289,0,0,100,0,0,27.166077,72.833923,0,100,0,0,100,0,69.032095,29.945513,1.022393,42.544212,49.064685,8.391104,66.231997,33.698534,0.06947,46.06404,52.075106,1.860854,48.999422,49.387399,1.613179,44.591582,46.425054,8.983364,64.710806,35.146387,0.142807,40.679471,57.558146,1.762383
0,100,0,0,73.924675,26.075325,0,100,0,5.692551,94.307449,0,0,100,0,0,65.753185,34.246815,0,100,0,0,100,0,71.724776,28.253803,0.021421,52.177178,42.453938,5.368884,69.752883,30.247117,0,42.38874,49.126004,8.485256,61.838236,38.140343,0.021421,54.057379,40.215903,5.726717,67.883385,32.116615,0,42.799638,51.894891,5.30547
0,100,0,0,100,0,0,100,0,0.254735,99.745265,0,0,100,0,0,100,0,0,100,0,0,100,0,72.237819,27.676185,0.085996,57.698442,37.746679,4.554879,52.675468,43.662895,3.661636,45.251284,44.89245,9.856267,68.851519,31.042201,0.10628,61.368148,34.345148,4.286703,48.246385,47.242142,4.511472,37.459263,53.030086,9.510651
