MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
0,3.966935,96.033065,0,0,100,19.640764,17.736646,62.62259,45.505802,10.158625,44.335574,0,11.319453,88.680547,0,0,100,20.60611,18.314372,61.079519,45.492239,9.13601,45.371751,10.61306,26.434237,62.952703,27.354626,35.883062,36.762313,20.994406,31.297566,47.708027,38.28489,24.992553,36.722557,12.572503,38.370077,49.05742,23.7877,37.241999,38.970301,21.827878,28.383173,49.78895,35.215899,22.015571,42.768529
8.679939,16.584478,74.735583,0,0,100,28.432178,21.825288,49.742535,40.664752,5.568581,53.766667,10.36199,21.329105,68.308906,0,0,100,29.482515,18.537216,51.980269,38.355942,6.975412,54.668646,25.619082,42.64438,31.736538,27.808994,29.665767,42.525239,26.884584,30.767159,42.348257,40.802636,34.748946,24.448419,28.34139,46.989176,24.669434,25.90207,29.503382,44.594548,26.594399,29.194295,44.211306,34.995303,34.285911,30.718787
18.894599,54.71454,26.390861,0,0,100,53.874645,44.094661,2.030694,34.955856,14.764234,50.27991,23.439058,57.098142,19.4628,0,0,100,52.034316,45.317022,2.648662,30.791897,14.941588,54.266515,69.986443,26.214848,3.798709,17.992013,21.040724,60.967263,30.941379,38.253405,30.805215,45.766295,32.820009,21.413696,73.366317,23.923988,2.709695,17.124009,20.245645,62.630346,30.497951,38.040789,31.46126,38.933758,36.698642,24.3676
16.224476,74.061986,9.713537,0,0.069455,99.930545,88.562628,11.340321,0.097051,42.662097,32.454732,24.883171,26.094865,65.499866,8.405269,0,0,100,88.912886,10.990063,0.097051,37.006937,29.848729,33.144334,84.651865,15.179403,0.168732,19.465787,28.30728,52.226933,38.444149,48.880688,12.675164,46.757464,38.953492,14.289044,85.163456,14.689891,0.146653,18.958393,26.71606,54.325547,37.23917,50.15132,12.60951,41.262662,41.537954,17.199384
12.027567,85.923769,2.048664,0,6.552347,93.447653,70.33318,29.66682,0,52.548543,42.481051,4.970407,11.062131,87.662452,1.275417,0,5.795878,94.204122,81.758979,18.241021,0,44.367364,44.913538,10.719098,84.614271,15.027572,0.358156,35.824996,35.89671,28.278294,64.446161,34.698493,0.855346,31.479483,55.462281,13.058236,83.652939,15.983905,0.363157,35.441692,34.20326,30.355047,61.733489,37.405939,0.860572,27.167066,58.642966,14.189968
0.94538,99.05462,0,0,48.206711,51.793289,10.65564,89.34436,0,62.913916,37.086084,0,0.098505,99.901495,0,0,41.496899,58.503101,22.966592,77.033408,0,41.524763,58.475237,0,81.687304,17.007889,1.304807,58.17319,37.94438,3.882429,76.193757,23.688255,0.117987,30.914695,54.346289,14.739017,78.09879,20.516961,1.384248,57.446669,38.08257,4.470761,72.391602,27.443717,0.16468,25.436274,59.039206,15.52452
0,100,0,0,95.264613,4.735387,0.949259,99.050741,0,45.08246,54.91754,0,0,100,0,0,90.916199,9.083801,0.749094,99.250906,0,8.900446,91.099554,0,70.688248,28.210999,1.100752,25.049761,64.115923,10.834316,56.654968,42.204817,1.140215,51.790857,36.927556,11.281587,67.983034,31.000065,1.016901,24.065068,64.640838,11.294094,52.756159,46.472013,0.771828,44.139425,42.602306,13.25827
0,100,0,0,100,0,0,100,0,6.181487,93.818513,0,0,100,0,0,100,0,0,100,0,0,100,0,73.962407,25.569302,0.468291,13.649092,64.631511,21.719397,45.415744,48.698604,5.885652,73.342831,21.676496,4.980673,72.05814,27.220595,0.721265,11.882678,58.488678,29.628643,44.863779,49.378287,5.757934,63.338355,30.318536,6.343109
