MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,36.933311,63.066689,0,10.623368,89.376632,14.498644,27.32027,58.181086,34.125326,22.601993,43.272681,1.392549,35.792025,62.815426,0,12.931801,87.068199,16.219624,25.280401,58.499975,27.947697,23.999877,48.052426,1.649523,38.156487,60.19399,56.062858,25.458505,18.478637,44.752399,42.479695,12.767906,49.393836,40.035468,10.570697,2.754099,40.417788,56.828113,58.474685,26.55959,14.965725,52.229397,38.703978,9.066624,48.003151,40.360233,11.636615
4.935967,63.560633,31.5034,0,14.401838,85.598162,13.449412,52.984348,33.56624,35.422339,10.634952,53.94271,1.267214,65.462526,33.27026,0,15.458805,84.541195,19.25045,51.89809,28.851459,33.746824,11.150423,55.102753,7.865081,65.26345,26.871469,71.313133,25.044533,3.642334,66.340077,32.689439,0.970483,70.481472,26.428663,3.089865,11.267901,58.854001,29.878098,72.568024,23.971367,3.460608,74.646742,24.603023,0.750235,65.054541,31.436212,3.509246
11.206855,83.812459,4.980686,0.873401,30.065,69.061599,17.269674,82.599246,0.13108,41.438237,34.394621,24.167142,9.711969,83.058851,7.22918,1.787017,25.012112,73.200872,33.171588,66.828412,0,36.52536,31.150266,32.324374,64.884455,33.781819,1.333725,40.165154,54.938487,4.896359,58.445277,41.164183,0.39054,57.952134,38.348445,3.699422,62.424334,34.606512,2.969154,42.079899,53.415166,4.504935,65.188318,34.643514,0.168168,50.082017,45.231982,4.686001
13.885325,85.987167,0.127507,4.064236,28.766257,67.169507,22.31347,77.68653,0,49.303794,50.696206,0,26.908796,73.091204,0,5.844891,26.276091,67.879017,40.511208,59.488792,0,35.383299,62.421146,2.195555,80.945004,18.089504,0.965492,13.677204,74.597098,11.725698,49.688473,49.632311,0.679216,28.003058,63.660072,8.33687,80.339407,18.253117,1.407476,16.673509,71.280416,12.046075,58.731698,40.775161,0.493142,25.367251,64.856876,9.775873
3.160513,96.839487,0,0.078481,50.226844,49.694675,9.394484,90.605516,0,35.031517,64.968483,0,11.567045,88.432955,0,1.488371,50.171827,48.339803,14.830539,85.169461,0,2.309959,97.690041,0,80.499206,19.124963,0.375831,13.093668,84.377971,2.528361,66.753381,32.885355,0.361264,13.464319,80.00234,6.533341,76.535409,22.97832,0.486271,16.210925,80.666091,3.122984,73.042703,26.696151,0.261146,7.934514,86.710947,5.354539
0,100,0,0,97.543956,2.456044,0,100,0,1.476988,98.523012,0,0.806979,99.193021,0,0.394381,98.755444,0.850175,0,100,0,0,100,0,75.896273,23.590407,0.51332,22.58073,77.153797,0.265473,74.015223,25.984777,0,11.307723,82.808225,5.884052,73.739279,25.804947,0.455774,28.796331,71.026348,0.177322,78.084878,21.915122,0,5.750794,88.388374,5.860832
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,73.625346,26.322709,0.051946,20.992438,77.977416,1.030146,60.668807,38.951694,0.379499,22.857383,68.050948,9.091669,72.756839,27.191215,0.051946,28.066037,70.933562,1.000401,62.132436,37.488065,0.379499,20.129925,71.328872,8.541203
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,63.435945,36.387363,0.176693,19.319597,73.085896,7.594507,60.317787,38.737286,0.944927,49.83068,40.252008,9.917311,63.240198,36.592003,0.167799,20.051346,72.375044,7.57361,60.497915,38.228379,1.273706,45.581586,44.525976,9.892438
