MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
0,33.784531,66.215469,0,0,100,21.766701,24.440546,53.792753,41.256702,9.306609,49.43669,0,33.349284,66.650716,0,0,100,22.811385,24.223549,52.965066,38.152259,9.188927,52.658814,5.036408,26.166411,68.797181,12.705491,35.750183,51.544325,29.804938,27.52333,42.671733,27.366649,21.692993,50.940358,4.96936,28.12397,66.90667,19.939235,34.760397,45.300369,35.952773,24.496227,39.551,27.854993,21.963389,50.181618
8.693424,63.64695,27.659626,0,0.073305,99.926695,20.644151,21.386311,57.969539,35.173342,11.406855,53.419803,7.327502,63.353453,29.319045,0,0.431768,99.568232,22.677821,23.092361,54.229818,32.822645,10.777964,56.399391,28.17687,42.185029,29.638102,30.06673,33.741584,36.191685,41.604703,30.051126,28.344171,38.387683,39.895829,21.716488,28.683135,40.251944,31.06492,36.788713,30.89008,32.321207,47.585482,28.167696,24.246821,37.151683,41.388144,21.460174
24.355504,74.426116,1.21838,0,4.744697,95.255303,31.895213,60.451643,7.653144,38.622035,23.208078,38.169887,29.408889,68.146034,2.445077,0,7.790214,92.209786,41.580372,55.96529,2.454338,36.542827,21.752391,41.704782,82.356038,17.232387,0.411575,15.855034,19.052547,65.092419,44.600115,34.900415,20.49947,39.993701,32.682314,27.323986,83.045545,16.242049,0.712406,17.65498,23.237368,59.107652,47.525734,36.792289,15.681976,36.661464,37.175244,26.163292
33.331935,66.130565,0.5375,4.173234,8.844587,86.982179,63.168778,36.740178,0.091043,46.593983,32.139827,21.26619,40.56843,58.89407,0.5375,4.72611,11.793308,83.480582,80.859891,19.140109,0,43.450028,32.301923,24.248049,90.959114,8.989841,0.051044,12.661493,22.143369,65.195138,51.940718,35.955012,12.10427,43.215121,30.001044,26.783835,91.87738,8.071576,0.051044,13.353397,26.948323,59.69828,54.259442,39.046257,6.694301,43.178399,29.974942,26.846658
9.98652,84.760995,5.252485,0.173104,9.361573,90.465323,29.163326,70.836674,0,50.669804,43.765315,5.564881,14.592326,81.81758,3.590094,0.173104,10.720381,89.106514,57.102142,42.897858,0,44.041691,50.029989,5.92832,87.663643,12.264338,0.072019,22.507343,35.521961,41.970696,74.107678,24.779389,1.112933,38.599869,48.136069,13.264062,88.070801,11.85718,0.072019,24.297553,38.410867,37.291579,77.369559,21.922964,0.707477,42.100681,44.934842,12.964477
0.334933,98.707429,0.957638,0,32.174719,67.825281,0,98.649034,1.350966,45.015019,53.773683,1.211297,1.254152,98.702719,0.043129,0,34.66613,65.33387,1.99086,97.797256,0.211884,33.046434,66.805854,0.147712,83.752043,15.846413,0.401545,49.415945,40.203921,10.380134,84.46248,15.478902,0.058617,27.981007,66.422777,5.596216,83.984966,15.613489,0.401545,54.93054,37.200052,7.869408,87.390022,12.55136,0.058617,28.508801,66.254293,5.236905
0,100,0,0,83.355282,16.644718,0,100,0,23.981752,76.018248,0,0,100,0,0,88.486884,11.513116,0,100,0,8.654039,91.345961,0,78.982816,20.965238,0.051946,47.743926,50.685532,1.570542,73.339098,25.368438,1.292463,34.230113,50.293729,15.476158,78.653599,21.294455,0.051946,52.44267,46.329246,1.228084,75.690081,22.626269,1.68365,32.011288,54.262871,13.725841
0,100,0,0,99.723908,0.276092,0,100,0,0.363739,99.636261,0,0,100,0,0,99.963021,0.036979,0,100,0,0,100,0,67.293306,32.427113,0.279581,31.500041,58.04156,10.4584,69.494319,29.763613,0.742067,68.313342,23.747415,7.939243,66.979906,32.776908,0.243187,31.91714,58.585021,9.497839,69.626431,28.710213,1.663356,65.193358,26.927482,7.87916
