MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,46.761542,53.238458,6.353945,24.249616,69.396439,13.8667,32.025012,54.108287,22.620979,40.305399,37.073622,0,49.58105,50.41895,7.099514,24.940782,67.959704,13.643281,29.131096,57.225623,22.908938,39.603065,37.487996,7.30538,60.250401,32.444218,62.757192,18.112046,19.130762,47.706415,39.888143,12.405442,57.393488,33.394712,9.2118,9.202336,66.690785,24.106878,64.012569,18.491831,17.4956,49.536579,38.816757,11.646663,60.976424,30.544322,8.479254
5.761448,68.057348,26.181204,0.439695,64.337635,35.22267,10.558104,80.00754,9.434357,25.561475,64.154219,10.284306,5.099936,71.515808,23.384256,0.557003,61.864248,37.578749,11.173855,79.231324,9.594822,25.540399,63.885131,10.57447,23.259889,66.859337,9.880774,66.208052,31.464299,2.327649,57.066968,42.062913,0.870119,48.577552,48.758971,2.663477,24.745845,63.628813,11.625342,68.308941,29.554654,2.136405,61.0147,38.37627,0.60903,49.682789,47.477107,2.840104
5.905381,87.195782,6.898837,0,93.299978,6.700022,0,100,0,24.315519,75.684481,0,9.23223,85.452377,5.315394,0.208259,92.230499,7.561243,0,100,0,22.822767,77.177233,0,64.986727,33.892245,1.121028,33.450008,66.131802,0.41819,37.880669,59.468683,2.650648,33.322476,57.632839,9.044685,61.632779,34.630181,3.73704,36.933967,62.700061,0.365972,45.629579,51.840862,2.52956,34.505881,55.963016,9.531103
20.743416,79.256584,0,0,87.703136,12.296864,0,99.044086,0.955914,1.144955,98.855045,0,19.49051,80.50949,0,0,88.441504,11.558496,0,99.243122,0.756878,0.67015,99.32985,0,80.149143,19.123625,0.727231,11.007296,88.482254,0.510449,23.094306,72.634586,4.271108,10.352328,67.950286,21.697386,75.737438,23.163329,1.099234,15.628941,83.956637,0.414422,25.581065,70.873011,3.545923,9.19133,69.662686,21.145984
8.39848,91.60152,0,0,99.045054,0.954946,0,99.862362,0.137638,0,100,0,3.715353,96.284647,0,0,99.188023,0.811977,0,99.862362,0.137638,0,100,0,73.730034,25.407854,0.862113,5.865153,92.89285,1.241997,38.813292,60.339968,0.84674,9.327305,67.632531,23.040164,71.102269,28.11509,0.782641,8.122132,91.047778,0.83009,41.451698,57.782707,0.765595,7.816318,69.772192,22.41149
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,64.712444,34.336263,0.951294,4.918388,94.444489,0.637123,51.829705,45.7935,2.376795,8.675253,82.848481,8.476266,62.581502,36.532323,0.886175,5.128705,94.350561,0.520733,52.58824,45.488365,1.923395,7.869507,83.33109,8.799404
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,56.535429,42.158026,1.306546,19.137665,79.302763,1.559572,53.435284,45.792102,0.772614,10.540369,81.41025,8.04938,56.399109,42.434502,1.166389,19.549863,78.416362,2.033774,54.523141,44.880575,0.596284,10.42438,81.494167,8.081453
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,58.953134,40.389408,0.657458,35.264194,48.421371,16.314435,58.168209,40.240328,1.591464,32.309986,56.635092,11.054922,58.87432,40.804221,0.321459,36.591602,48.584927,14.823471,58.625713,40.410758,0.963529,31.929819,58.057121,10.01306
