MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
1.182695,66.533264,32.284041,0.116408,1.770525,98.113067,8.468069,66.416956,25.114974,2.177096,50.494774,47.32813,0.999668,96.336092,2.664239,0.116408,0.847567,99.036025,4.745877,61.813076,33.441048,2.621796,61.24601,36.132194,3.115154,57.561397,39.323449,29.195986,27.304577,43.499437,35.058923,35.578479,29.362598,7.712204,32.684094,59.603702,4.611655,79.271002,16.117343,28.533661,28.356344,43.109995,32.560535,37.096239,30.343226,8.964217,40.609503,50.42628
3.505437,57.574195,38.920369,0,13.642744,86.357256,1.088514,91.91121,7.000275,0,77.319615,22.680385,0.40286,81.083026,18.514114,0,10.777102,89.222898,0,83.576034,16.423966,0,76.757791,23.242209,1.084566,50.115953,48.799481,21.197134,60.175195,18.627671,18.043109,70.115454,11.841437,8.033939,55.77664,36.189421,0.51598,60.719726,38.764294,19.396257,60.391539,20.212204,14.493508,70.367937,15.138555,9.436009,61.107218,29.456773
3.684199,65.338402,30.977399,6.194345,19.213427,74.592228,21.784374,69.692429,8.523197,0.404536,75.872006,23.723458,11.731898,60.28045,27.987652,4.289383,20.483694,75.226923,14.594303,73.125329,12.280367,6.33674,67.400637,26.262623,8.687962,67.990831,23.321207,2.609102,75.491063,21.899835,13.018291,83.124351,3.857358,1.629499,65.212002,33.158499,4.775207,75.592972,19.631822,1.978968,71.898247,26.122785,8.431276,87.70747,3.861254,1.640714,68.177028,30.182258
13.418415,80.480852,6.100733,13.42439,16.675312,69.900298,16.102129,81.772404,2.125467,15.250726,70.717113,14.032161,11.554817,75.0046,13.440583,11.331716,18.767986,69.900298,11.072804,84.694064,4.233132,17.894331,64.688884,17.416785,34.600407,51.280644,14.11895,0.685783,69.847111,29.467106,2.740862,87.942875,9.316263,2.259274,69.745971,27.994755,28.955059,57.152122,13.892819,0.517254,63.696363,35.786383,1.360154,88.748602,9.891244,1.481423,68.241587,30.27699
13.377756,86.622244,0,1.865569,44.405652,53.728779,9.56402,90.43598,0,15.197941,84.802059,0,5.025105,94.974895,0,1.557753,36.641781,61.800465,4.127513,95.872487,0,9.900191,90.099809,0,55.413208,35.485832,9.10096,1.186337,82.880873,15.93279,4.727142,78.668617,16.604241,3.916047,81.409761,14.674192,49.331889,40.483585,10.184526,1.017864,76.548706,22.433431,3.762518,77.702337,18.535145,2.635324,80.207209,17.157468
0.583317,99.416683,0,0,91.744102,8.255898,0,100,0,1.306806,98.693194,0,0,100,0,0,81.843217,18.156783,0,100,0,0,100,0,66.945107,30.509925,2.544968,3.818471,94.746372,1.435157,24.98652,73.957785,1.055695,3.658765,91.695344,4.645891,60.918614,36.095717,2.985669,3.766694,91.781433,4.451872,22.787862,73.953885,3.258253,2.571304,91.766292,5.662404
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,59.60745,37.99657,2.395979,13.000387,86.747075,0.252537,54.510095,45.42706,0.062845,3.026448,90.013681,6.959871,56.46165,40.1629,3.37545,12.756155,86.924742,0.319103,53.112543,46.824612,0.062845,1.543228,90.345949,8.110824
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,63.247627,36.593709,0.158664,13.565985,83.809294,2.624721,21.200493,61.960993,16.838514,7.526221,77.717165,14.756614,62.802301,37.116282,0.081417,15.898974,80.302227,3.798799,23.606386,61.620221,14.773393,6.107463,77.668443,16.224095
