MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
7.679044,23.647565,68.673391,0,0,100,16.995177,39.00895,43.995873,20.50397,2.46927,77.02676,6.849582,23.626064,69.524354,0,0,100,17.796585,37.82961,44.373805,20.390014,2.066831,77.543155,19.522911,19.484198,60.99289,2.118335,13.551898,84.329767,28.058541,45.700934,26.240525,23.357189,22.069689,54.573123,17.619736,20.007857,62.372407,3.178351,19.531214,77.290436,31.431516,43.207541,25.360943,24.414203,24.936394,50.649403
20.418712,44.736838,34.84445,0,0,100,16.340781,40.739641,42.919578,9.093838,4.079305,86.826857,18.813665,48.70376,32.482575,0,0,100,20.587245,37.547147,41.865608,8.80249,4.249537,86.947973,42.428048,26.743573,30.828379,4.799792,21.950466,73.249743,6.367634,47.777782,45.854584,6.025895,26.907677,67.066428,41.623637,26.57914,31.797223,7.885859,25.700532,66.41361,9.965309,47.053436,42.981255,8.495859,30.068197,61.435944
38.900996,60.588335,0.510669,0.357651,7.809807,91.832542,39.28279,49.241875,11.475335,14.75645,13.494397,71.749152,45.028047,54.473097,0.498856,0.848763,10.13895,89.012288,51.677514,39.582395,8.740091,14.22184,13.727806,72.050354,68.053,22.61799,9.32901,4.691884,11.751231,83.556885,22.341739,45.639909,32.018352,11.927415,20.120659,67.951927,68.940878,22.155471,8.903652,6.096608,14.216446,79.686946,31.575245,39.549918,28.874837,13.372624,23.332771,63.294605
54.812452,45.187548,0,13.532916,12.634768,73.832316,67.274964,32.725036,0,17.204195,22.632954,60.16285,69.730028,30.269972,0,15.129779,13.085116,71.785105,79.876627,20.123373,0,15.965603,24.368528,59.665869,81.66823,15.978081,2.353689,6.145324,10.03376,83.820917,47.547737,36.830561,15.621703,9.22481,39.41077,51.36442,82.477541,15.720383,1.802076,7.149056,12.245601,80.605343,51.04163,37.175704,11.782666,12.358688,41.69568,45.945632
35.026729,64.973271,0,10.698893,10.772953,78.528154,35.084244,64.915756,0,29.47909,26.757215,43.763695,49.215061,50.784939,0,11.910078,10.915666,77.174256,62.155687,37.844313,0,28.451588,31.380251,40.168161,82.349742,14.944004,2.706254,20.906294,18.590394,60.503312,75.262825,23.483525,1.253651,9.677911,65.463909,24.85818,83.36981,14.085165,2.545025,23.079711,21.485304,55.434985,79.235627,20.330541,0.433833,12.294611,68.126484,19.578905
5.532306,94.467694,0,0,53.658268,46.341732,5.106924,94.893076,0,45.319434,52.069603,2.610963,6.613506,93.386494,0,0.304019,68.558766,31.137215,16.055516,83.944484,0,44.901671,54.84328,0.255049,77.335322,20.56768,2.096998,50.397282,42.160722,7.441996,85.70021,14.29979,0,20.012616,78.413352,1.574032,77.435742,20.588331,1.975927,56.032066,40.197417,3.770517,89.260639,10.739361,0,20.927613,78.197748,0.874639
0,100,0,0,99.976549,0.023451,0,100,0,5.467911,94.532089,0,0,100,0,0,100,0,0.206024,99.793976,0,4.933794,95.066206,0,70.801687,29.060157,0.138156,35.379561,62.973124,1.647316,65.061574,34.522711,0.415715,20.040866,68.202337,11.756797,70.690047,29.240489,0.069464,40.770595,57.605945,1.623461,67.659532,31.859957,0.480512,14.733863,73.347226,11.918911
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,68.263765,31.721939,0.014296,52.885703,38.817681,8.296616,56.8569,40.832424,2.310676,28.837286,56.057735,15.104979,68.241945,31.743758,0.014296,54.127961,39.262326,6.609713,58.492755,39.244405,2.26284,28.714714,57.967114,13.318172
