MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,47.806663,52.193337,0,1.044996,98.955004,15.476145,31.625617,52.898238,23.525902,27.58263,48.891468,0,44.0252,55.9748,0,1.863895,98.136105,15.380754,36.412148,48.207098,18.053533,31.636389,50.310078,1.918256,50.543029,47.538715,57.559924,17.910083,24.529994,46.971961,32.378154,20.649885,58.207379,28.927647,12.864973,3.025725,55.325158,41.649117,58.561139,19.730231,21.70863,48.417562,31.273045,20.309393,58.531978,29.850422,11.617601
6.785941,49.081443,44.132616,0,5.401213,94.598787,26.832933,53.550553,19.616514,27.713732,21.111975,51.174293,5.533401,44.251167,50.215432,0,5.296194,94.703806,26.144131,51.868114,21.987754,26.280575,21.85995,51.859475,7.576707,69.435372,22.987922,56.438466,29.137102,14.424432,63.091898,30.632556,6.275546,60.143361,34.192667,5.663973,8.960391,67.819827,23.219782,57.577538,28.229231,14.19323,64.379647,29.867688,5.752665,60.678518,33.844019,5.477463
13.147008,74.995351,11.857641,0,4.127827,95.872173,74.04418,25.95582,0,23.217485,34.151609,42.630906,13.94871,70.783546,15.267744,0,4.720328,95.279672,76.107262,23.892738,0,21.713759,33.845839,44.440402,41.154742,55.313815,3.531443,25.069232,53.087456,21.843312,41.601117,58.03418,0.364703,34.029202,58.039375,7.931424,41.655128,53.642561,4.702311,27.306959,52.546305,20.146737,45.107139,54.628287,0.264574,34.136052,57.837978,8.02597
8.21103,90.021198,1.767771,0,11.043966,88.956034,83.699073,16.300927,0,21.520041,65.845884,12.634075,8.26256,89.736245,2.001195,0,13.895898,86.104102,85.355801,14.644199,0,14.899671,68.234917,16.865412,66.156381,32.829443,1.014176,14.941036,75.460886,9.598078,17.509449,82.025627,0.464924,18.98786,69.660231,11.351909,63.88859,34.8912,1.22021,17.361729,73.939189,8.699082,22.503664,77.265104,0.231231,19.712407,68.826107,11.461486
1.315552,98.684448,0,0,30.436988,69.563012,62.251915,37.748085,0,1.247131,98.612545,0.140324,0.254923,99.745077,0,0,31.174557,68.825443,69.759138,30.240862,0,0.421551,99.031203,0.547246,74.816712,24.340986,0.842302,20.822032,74.304016,4.873953,20.031973,79.779862,0.188165,13.106675,73.071831,13.821494,72.927818,25.852568,1.219614,24.026308,71.179205,4.794487,25.541016,74.405493,0.053492,11.277609,74.565323,14.157068
0,100,0,0,85.365173,14.634827,24.506571,75.493429,0,0,100,0,0,100,0,0,87.229336,12.770664,35.614247,64.385753,0,0,100,0,68.348385,29.858124,1.793492,17.190264,81.394364,1.415371,37.216987,62.453426,0.329587,12.321251,66.737753,20.940996,67.058407,30.972887,1.968706,24.476178,74.31765,1.206172,41.118398,58.554096,0.327506,11.064246,67.522063,21.413691
0,100,0,0,100,0,0.517104,99.482896,0,0,100,0,0,100,0,0,100,0,0.98112,99.01888,0,0,100,0,61.016113,36.86029,2.123597,3.837969,84.244714,11.917317,43.393619,55.168781,1.4376,29.506171,55.990477,14.503352,59.804863,37.879852,2.315285,5.062686,82.180567,12.756747,44.317481,53.756646,1.925873,25.381594,59.750556,14.867849
0,100,0,0,100,0,0.299967,99.700033,0,0,100,0,0,100,0,0,100,0,0.899734,99.100266,0,0,100,0,65.607914,32.756057,1.636029,8.060569,60.013847,31.925584,40.877318,49.864107,9.258575,53.70191,39.489329,6.808761,64.538816,33.746204,1.71498,8.220479,56.447653,35.331869,42.997502,46.702526,10.299971,47.137479,44.240683,8.621838
