MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,56.016108,43.983892,0.208154,2.292218,97.499628,10.097701,89.032385,0.869914,0.772292,29.780946,69.446762,0.700468,49.20504,50.094492,0.208154,2.069453,97.722393,8.146718,91.078994,0.774288,0.525249,11.838385,87.636366,0.856614,27.380956,71.76243,17.538891,32.808589,49.65252,4.745829,38.101649,57.152522,4.614668,25.144124,70.241209,3.328192,36.263776,60.408032,13.304965,32.693665,54.00137,4.371012,39.181448,56.447541,3.514983,15.934239,80.550778
0,46.910162,53.089838,0,1.419261,98.580739,0,97.658087,2.341913,0,50.596383,49.403617,0,44.253452,55.746548,0,1.127548,98.872452,0,96.934458,3.065542,0,0.838919,99.161081,0.855105,45.336336,53.808559,1.975852,65.570069,32.454079,10.911613,65.67489,23.413496,0.731322,55.238752,44.029926,2.417235,47.289524,50.293241,0.678118,57.871295,41.450587,6.372815,71.963104,21.66408,0.039308,31.646214,68.314478
9.351612,40.612374,50.036014,0.053709,11.648042,88.298249,29.0892,70.9108,0,0,94.192073,5.807927,7.132063,56.901479,35.966458,0,11.497216,88.502784,27.720586,72.279414,0,0,60.031046,39.968954,9.171346,58.13461,32.694044,0.271315,65.495534,34.23315,6.129044,84.026769,9.844187,0.062634,83.019938,16.917428,13.688194,52.72772,33.584086,0.135964,49.602246,50.26179,3.497051,86.81795,9.684999,0.172328,65.596099,34.231573
15.452963,67.887388,16.659649,0.102974,35.267345,64.629682,24.277784,75.722216,0,14.297558,85.702442,0,4.530551,94.363258,1.106192,0.102974,14.461895,85.435131,26.053098,73.946902,0,0.346782,97.897505,1.755713,25.791523,49.013532,25.194946,0.598848,67.048622,32.35253,0.848943,85.775679,13.375378,0.702612,86.349873,12.947515,26.681484,48.395342,24.923174,1.105281,47.690565,51.204154,1.466115,86.98558,11.548305,2.018484,82.203383,15.778133
3.615167,96.384833,0,0,52.799647,47.200353,0,100,0,5.187676,94.812324,0,0,100,0,0,35.936628,64.063372,0,100,0,0,100,0,36.176381,48.672291,15.151329,4.86624,85.292564,9.841196,10.198368,87.651445,2.150187,3.82401,89.681384,6.494606,32.746778,53.670515,13.582708,7.245058,72.260156,20.494786,10.910154,87.843435,1.24641,6.573112,88.547032,4.879856
0,100,0,0,93.449365,6.550635,0,100,0,0,100,0,0,100,0,0,82.197983,17.802017,0,100,0,0,100,0,33.884694,59.56678,6.548526,15.729779,81.554298,2.715922,51.158848,48.841152,0,13.991939,81.556642,4.451419,24.020184,67.19996,8.779856,18.67064,78.774896,2.554464,50.836977,49.163023,0,21.52005,76.303028,2.176921
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,41.244443,58.095937,0.65962,43.572287,54.105276,2.322437,64.822155,35.177845,0,29.644547,64.64887,5.706583,27.774144,71.332456,0.893401,47.204969,51.130856,1.664176,61.200368,38.799632,0,41.444072,56.629141,1.926788
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,60.893312,39.002168,0.10452,61.851336,33.958377,4.190286,40.974302,55.315179,3.710519,28.825083,59.019811,12.155106,57.474613,42.406448,0.11894,63.566919,32.168113,4.264967,27.253451,67.619806,5.126743,29.227384,59.681723,11.090893
