MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
0,41.601834,58.398166,0,0,100,19.383719,28.513729,52.102552,27.779413,19.154424,53.066163,0.063874,45.610959,54.325167,0,0,100,18.946683,28.759189,52.294128,29.795282,17.316092,52.888626,9.789072,56.989805,33.221123,6.02804,19.933025,74.038936,34.215886,22.5401,43.244013,19.759755,19.385269,60.854976,17.532063,58.880191,23.587746,8.882519,21.554198,69.563283,38.530517,20.010737,41.458746,23.949254,18.283242,57.767505
6.920036,39.764134,53.31583,0,0,100,20.854001,18.561326,60.584673,29.660224,11.618223,58.721552,8.681021,39.147003,52.171976,0,0,100,19.459745,19.32402,61.216235,30.759304,11.050251,58.190445,13.075464,54.857249,32.067287,12.966536,27.0611,59.972364,10.680827,43.039058,46.280115,19.99124,34.958926,45.049834,15.773444,54.557289,29.669266,15.804273,29.274596,54.92113,13.564076,42.323181,44.112743,23.453723,35.829555,40.716722
10.943246,45.756345,43.300409,0.841795,5.030732,94.127473,19.062577,59.833343,21.10408,32.52607,15.6536,51.82033,13.868848,50.028898,36.102254,0.589859,5.456312,93.953829,18.812931,60.486755,20.700315,33.226531,15.50201,51.27146,34.707398,53.66313,11.629472,9.041165,11.94184,79.016995,13.674711,46.756186,39.569103,21.670757,34.794159,43.535084,32.039968,52.426137,15.533895,9.672019,12.753815,77.574167,14.043553,47.929475,38.026972,23.966712,34.983746,41.049542
12.97951,81.791611,5.228879,8.508013,6.469626,85.022362,31.637658,64.367521,3.994822,34.125774,26.176769,39.697458,12.199486,85.253867,2.546647,8.293185,6.956449,84.750366,31.839926,66.188875,1.971199,33.9196,26.78013,39.30027,69.727178,28.21039,2.062431,11.319463,8.837302,79.843235,20.756845,48.578782,30.664373,23.278755,38.808704,37.912541,63.838992,33.592215,2.568793,11.639573,9.45711,78.903317,20.856606,49.034206,30.109187,25.311087,38.194424,36.49449
11.236158,88.763842,0,3.362946,4.931773,91.70528,28.432473,71.294179,0.273348,41.295871,35.069845,23.634284,9.07904,90.92096,0,3.579176,5.597334,90.82349,28.570318,71.310938,0.118744,39.318982,37.315405,23.365613,79.591468,19.813674,0.594858,17.005878,15.00324,67.990882,47.402865,42.533954,10.063181,24.309981,58.08321,17.606809,78.796511,20.736944,0.466545,17.702282,16.076162,66.221556,46.901843,44.157196,8.940961,26.008116,56.749119,17.242765
2.541793,97.458207,0,0,16.622877,83.377123,0,99.669006,0.330994,58.184629,41.815371,0,1.390014,98.609986,0,0,17.479437,82.520563,0,99.669006,0.330994,52.288133,47.711867,0,77.778141,21.183941,1.037918,33.299794,39.371716,27.32849,63.482666,36.517334,0,23.425786,74.521201,2.053013,76.866554,22.372933,0.760513,35.857088,38.506824,25.636088,62.739604,37.260396,0,26.845304,71.385616,1.76908
0,100,0,0,50.905963,49.094037,0,100,0,17.90281,82.09719,0,0,100,0,0,53.560236,46.439764,0,100,0,13.691922,86.308078,0,70.750196,26.348297,2.901508,51.25765,45.189043,3.553307,66.739658,33.175408,0.084934,18.29343,76.29476,5.41181,69.727369,27.292404,2.980227,52.980609,44.173743,2.845647,64.656776,34.958221,0.385003,20.451385,74.748971,4.799644
0,100,0,0,95.339901,4.660099,0,100,0,0,100,0,0,100,0,0,96.466878,3.533122,0,100,0,0,100,0,69.975052,29.974751,0.050196,34.409333,59.497807,6.09286,26.983763,57.927051,15.089186,13.729943,69.854573,16.415484,69.790038,30.140835,0.069127,33.404829,61.164471,5.430701,25.18857,58.200713,16.610717,14.214635,69.981101,15.804264
