MedialCortical_STD_75Above Threshold,MedialCortical_STD_75Within Threshold,MedialCortical_STD_75Below Threshold,LateralCortical_STD_75Above Threshold,LateralCortical_STD_75Within Threshold,LateralCortical_STD_75Below Threshold,AnteriorCortical_STD_75Above Threshold,AnteriorCortical_STD_75Within Threshold,AnteriorCortical_STD_75Below Threshold,PosteriorCortical_STD_75Above Threshold,PosteriorCortical_STD_75Within Threshold,PosteriorCortical_STD_75Below Threshold,MedialCortical_STD_45Above Threshold,MedialCortical_STD_45Within Threshold,MedialCortical_STD_45Below Threshold,LateralCortical_STD_45Above Threshold,LateralCortical_STD_45Within Threshold,LateralCortical_STD_45Below Threshold,AnteriorCortical_STD_45Above Threshold,AnteriorCortical_STD_45Within Threshold,AnteriorCortical_STD_45Below Threshold,PosteriorCortical_STD_45Above Threshold,PosteriorCortical_STD_45Within Threshold,PosteriorCortical_STD_45Below Threshold,MedialTrabecular_STD_75Above Threshold,MedialTrabecular_STD_75Within Threshold,MedialTrabecular_STD_75Below Threshold,LateralTrabecular_STD_75Above Threshold,LateralTrabecular_STD_75Within Threshold,LateralTrabecular_STD_75Below Threshold,AnteriorTrabecular_STD_75Above Threshold,AnteriorTrabecular_STD_75Within Threshold,AnteriorTrabecular_STD_75Below Threshold,PosteriorTrabecular_STD_75Above Threshold,PosteriorTrabecular_STD_75Within Threshold,PosteriorTrabecular_STD_75Below Threshold,MedialTrabecular_STD_45Above Threshold,MedialTrabecular_STD_45Within Threshold,MedialTrabecular_STD_45Below Threshold,LateralTrabecular_STD_45Above Threshold,LateralTrabecular_STD_45Within Threshold,LateralTrabecular_STD_45Below Threshold,AnteriorTrabecular_STD_45Above Threshold,AnteriorTrabecular_STD_45Within Threshold,AnteriorTrabecular_STD_45Below Threshold,PosteriorTrabecular_STD_45Above Threshold,PosteriorTrabecular_STD_45Within Threshold,PosteriorTrabecular_STD_45Below Threshold
0,54.237334,45.762666,0,0,100,1.425762,70.700423,27.873815,0.691917,62.883384,36.424699,0,55.386729,44.613271,0,0.713347,99.286653,1.043963,69.753509,29.202528,1.421275,63.448118,35.130607,1.896974,35.021479,63.081547,33.403058,24.572571,42.024371,12.348072,60.640234,27.011693,13.879527,37.69282,48.427653,4.021491,39.352216,56.626293,36.012323,24.97048,39.017197,10.573988,62.029385,27.396626,17.061854,38.976215,43.961931
1.079567,53.829015,45.091418,0,1.737915,98.262085,0,51.433332,48.566668,0,54.161809,45.838191,3.556752,51.731757,44.711491,0,1.648032,98.351968,0,50.962744,49.037256,0,55.14311,44.85689,8.304976,56.854401,34.840623,17.789629,59.609611,22.60076,1.268765,81.100907,17.630328,6.490121,79.032035,14.477845,13.565308,59.345098,27.089595,22.278466,58.469254,19.25228,1.900833,80.764128,17.335039,8.893021,82.891261,8.215719
20.772093,69.729507,9.4984,0.246244,23.963657,75.790099,1.760066,93.376151,4.863783,0,79.576036,20.423964,26.984879,63.75106,9.264061,0.246244,25.535812,74.217944,1.544859,93.85203,4.60311,0,83.452681,16.547319,42.143404,46.489988,11.366608,0.9051,68.921052,30.173848,5.027454,92.474395,2.498151,0.55893,88.228585,11.212486,45.797444,45.161826,9.040729,1.676997,72.560105,25.762898,7.16808,90.760031,2.071889,0.761265,91.420189,7.818546
33.94327,66.05673,0,8.844708,26.73439,64.420902,24.287282,75.712718,0,0,99.771316,0.228684,37.430105,62.569895,0,9.64817,29.119399,61.232431,23.260253,76.739747,0,0.506972,99.493028,0,64.966119,30.495293,4.538588,1.954829,69.1564,28.88877,27.88602,71.867857,0.246123,0.304023,91.861277,7.8347,63.954399,33.464958,2.580643,2.467592,74.894396,22.638012,31.195627,68.594578,0.209795,0.333617,94.445295,5.221088
8.301414,91.698586,0,6.452133,41.014842,52.533025,11.638564,88.361436,0,0,100,0,8.97586,91.02414,0,7.013773,48.203997,44.78223,14.020577,85.979423,0,0.913913,99.086087,0,60.891684,34.632473,4.475843,7.245742,87.330236,5.424022,57.856382,41.956475,0.187143,1.024621,97.682552,1.292827,60.552328,34.953619,4.494053,9.40212,88.169313,2.428567,60.288106,39.484514,0.22738,0.970459,97.967536,1.062004
0.04995,99.95005,0,0,96.663852,3.336148,0.417423,99.582577,0,0,100,0,0,100,0,0,97.927407,2.072593,0,100,0,0,100,0,59.572774,37.743612,2.683615,12.956057,86.864068,0.179875,65.151541,34.70595,0.142509,0.615945,98.324523,1.059531,58.3737,38.797235,2.829065,21.358444,78.455351,0.186205,67.84295,32.014541,0.142509,0.597953,97.920297,1.48175
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,62.287495,37.501516,0.210989,22.379682,74.342721,3.277596,50.768303,48.589096,0.642601,5.578355,83.362011,11.059634,61.27688,38.527687,0.195433,27.016539,69.710163,3.273298,51.443009,47.874113,0.682877,4.061882,84.322164,11.615954
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,65.962405,33.987549,0.050046,44.191394,50.535811,5.272795,51.031872,45.571982,3.396145,24.518241,67.907636,7.574123,65.779127,34.161361,0.059512,48.008389,47.571894,4.419717,51.890891,45.059757,3.049352,17.917945,73.295914,8.786141
