MedialCortical_INF_75Above Threshold,MedialCortical_INF_75Within Threshold,MedialCortical_INF_75Below Threshold,LateralCortical_INF_75Above Threshold,LateralCortical_INF_75Within Threshold,LateralCortical_INF_75Below Threshold,AnteriorCortical_INF_75Above Threshold,AnteriorCortical_INF_75Within Threshold,AnteriorCortical_INF_75Below Threshold,PosteriorCortical_INF_75Above Threshold,PosteriorCortical_INF_75Within Threshold,PosteriorCortical_INF_75Below Threshold,MedialCortical_INF_45Above Threshold,MedialCortical_INF_45Within Threshold,MedialCortical_INF_45Below Threshold,LateralCortical_INF_45Above Threshold,LateralCortical_INF_45Within Threshold,LateralCortical_INF_45Below Threshold,AnteriorCortical_INF_45Above Threshold,AnteriorCortical_INF_45Within Threshold,AnteriorCortical_INF_45Below Threshold,PosteriorCortical_INF_45Above Threshold,PosteriorCortical_INF_45Within Threshold,PosteriorCortical_INF_45Below Threshold,MedialTrabecular_INF_75Above Threshold,MedialTrabecular_INF_75Within Threshold,MedialTrabecular_INF_75Below Threshold,LateralTrabecular_INF_75Above Threshold,LateralTrabecular_INF_75Within Threshold,LateralTrabecular_INF_75Below Threshold,AnteriorTrabecular_INF_75Above Threshold,AnteriorTrabecular_INF_75Within Threshold,AnteriorTrabecular_INF_75Below Threshold,PosteriorTrabecular_INF_75Above Threshold,PosteriorTrabecular_INF_75Within Threshold,PosteriorTrabecular_INF_75Below Threshold,MedialTrabecular_INF_45Above Threshold,MedialTrabecular_INF_45Within Threshold,MedialTrabecular_INF_45Below Threshold,LateralTrabecular_INF_45Above Threshold,LateralTrabecular_INF_45Within Threshold,LateralTrabecular_INF_45Below Threshold,AnteriorTrabecular_INF_45Above Threshold,AnteriorTrabecular_INF_45Within Threshold,AnteriorTrabecular_INF_45Below Threshold,PosteriorTrabecular_INF_45Above Threshold,PosteriorTrabecular_INF_45Within Threshold,PosteriorTrabecular_INF_45Below Threshold
15.560718,9.347826,75.091456,0,0,100,5.380851,34.565587,60.053562,15.816909,5.131192,79.051898,15.872617,10.726662,73.40072,0,0,100,5.309439,34.992506,59.698056,15.554127,5.28657,79.159303,27.422182,25.824343,46.753476,11.322465,30.721754,57.955781,48.779748,32.695422,18.524831,17.286704,29.227542,53.485754,32.21367,32.655878,35.130452,9.019425,27.669703,63.310872,48.03692,32.188158,19.774923,12.348852,30.096524,57.554624
26.126767,18.562828,55.310406,8.165552,17.820576,74.013872,19.517519,64.864645,15.617836,10.153291,5.645661,84.201049,29.922883,22.938588,47.138528,7.088023,16.408576,76.503401,7.013382,74.629097,18.357521,9.83607,5.104162,85.059768,31.679979,45.902984,22.417037,20.251867,37.212543,42.53559,55.429566,37.420545,7.149889,16.02063,37.61037,46.369,32.033767,52.063943,15.90229,17.768866,34.205242,48.025892,51.167309,40.019567,8.813124,11.644925,34.903703,53.451372
35.086881,53.764196,11.148923,18.051018,11.74884,70.200142,76.727737,23.272263,0,10.903444,11.449218,77.647338,42.807866,48.467598,8.724537,14.403104,14.319042,71.277854,63.233912,36.766088,0,9.559682,10.902171,79.538147,63.323018,35.492693,1.184289,32.263341,50.19758,17.539079,76.624326,23.120976,0.254698,27.283935,35.061752,37.654313,54.614344,42.287352,3.098305,26.903906,52.276152,20.819942,69.183234,30.47551,0.341256,24.419776,27.760994,47.81923
31.155989,63.759674,5.084336,17.851127,15.875365,66.273508,80.048089,19.951911,0,20.178089,25.702423,54.119488,26.276898,67.369847,6.353254,12.436486,16.874622,70.688892,62.133105,37.866895,0,15.127605,23.361087,61.511308,75.214571,19.539902,5.245527,51.872403,45.336765,2.790832,87.512255,12.335203,0.152542,38.140779,49.461696,12.397525,71.537419,22.048257,6.414324,43.785625,51.477479,4.736896,76.258391,23.589067,0.152542,33.514004,48.285355,18.200642
7.294148,92.174953,0.530899,20.454897,65.532663,14.01244,29.062426,70.937574,0,30.531267,62.963334,6.505398,1.033611,95.06513,3.901259,12.989024,57.851433,29.159544,12.479564,87.321893,0.198543,3.194897,74.323753,22.48135,74.399144,22.220074,3.380782,75.110533,24.538617,0.350849,75.559667,23.477611,0.962722,38.517975,59.587381,1.894643,70.971573,25.235249,3.793178,67.856531,31.424765,0.718705,57.542871,41.300813,1.156316,29.92546,67.500502,2.574039
0.315468,99.684532,0,4.322886,95.677114,0,0,100,0,17.950352,82.049648,0,0,100,0,0.85818,98.534403,0.607418,0,100,0,0,99.500931,0.499069,75.227708,20.353595,4.418697,55.658509,43.980308,0.361183,54.038527,45.143613,0.81786,27.281939,67.760645,4.957416,68.915045,25.997279,5.087676,47.198298,52.329061,0.472642,46.96264,52.246009,0.791352,20.140349,74.558492,5.301159
0,100,0,0,100,0,0,100,0,0.350693,99.649307,0,0,100,0,0,100,0,0,100,0,0,100,0,77.233706,21.203365,1.562929,30.368288,68.51749,1.114222,68.698044,31.244747,0.057209,24.427465,71.223286,4.349249,72.113726,25.640304,2.24597,29.553308,69.079597,1.367095,64.611036,35.331755,0.057209,17.203709,77.864081,4.93221
0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,76.779667,22.783975,0.436358,35.860102,59.646172,4.493726,73.686806,26.030691,0.282503,27.684312,65.869398,6.446291,74.156544,25.311926,0.53153,35.66437,59.964064,4.371565,71.149575,28.567922,0.282503,23.56019,70.449928,5.989882
