,depth,id,remodel,unchanged,resorb,quad,bone_type,load,posi
51,5-10,PosteriorCortical_STD_75,11.523268875,45.08178825,43.394943,Posterior,Cortical,75,STD
52,5-10,MedialCortical_STD_45,4.887390625,62.027331375,33.085278,Medial,Cortical,45,STD
53,5-10,LateralCortical_STD_45,1.19124075,21.143523625,77.665235625,Lateral,Cortical,45,STD
54,5-10,AnteriorCortical_STD_45,8.393235625,72.50326162500001,19.103502499999998,Anterior,Cortical,45,STD
55,5-10,PosteriorCortical_STD_45,11.575559375,39.61476925,48.809671375,Posterior,Cortical,45,STD
56,5-10,MedialTrabecular_STD_75,7.049879,61.71740475,31.232716375000003,Medial,Trabecular,75,STD
57,5-10,LateralTrabecular_STD_75,41.018313375,45.892539625,13.089147,Lateral,Trabecular,75,STD
58,5-10,AnteriorTrabecular_STD_75,37.022610375,53.02839625,9.948993125,Anterior,Trabecular,75,STD
59,5-10,PosteriorTrabecular_STD_75,32.8655715,50.633794125,16.500634625,Posterior,Trabecular,75,STD
60,5-10,MedialTrabecular_STD_45,8.703668125,62.071750375,29.2245815,Medial,Trabecular,45,STD
61,5-10,LateralTrabecular_STD_45,42.07617825,43.529303875,14.3945175,Lateral,Trabecular,45,STD
62,5-10,AnteriorTrabecular_STD_45,37.348175499999996,53.04598225,9.605842124999999,Anterior,Trabecular,45,STD
63,5-10,PosteriorTrabecular_STD_45,33.001240124999995,49.147937625000004,17.85082225,Posterior,Trabecular,45,STD
64,5-10,MedialCortical_SUP_75,1.838547375,42.658823749999996,55.502628875,Medial,Cortical,75,SUP
65,5-10,LateralCortical_SUP_75,2.695147375,9.15463425,88.15021837500001,Lateral,Cortical,75,SUP
66,5-10,AnteriorCortical_SUP_75,31.009619999999998,56.6908645,12.29951575,Anterior,Cortical,75,SUP
67,5-10,PosteriorCortical_SUP_75,14.196379499999999,35.44986625,50.35375425,Posterior,Cortical,75,SUP
68,5-10,MedialCortical_SUP_45,2.4067863750000003,46.265917125,51.3272965,Medial,Cortical,45,SUP
69,5-10,LateralCortical_SUP_45,2.306076625,9.626856125,88.06706725,Lateral,Cortical,45,SUP
70,5-10,AnteriorCortical_SUP_45,31.569453,56.97494075,11.455606249999999,Anterior,Cortical,45,SUP
71,5-10,PosteriorCortical_SUP_45,12.394614625,35.16305475,52.442330625,Posterior,Cortical,45,SUP
72,5-10,MedialTrabecular_SUP_75,34.969057875,45.516210375,19.514732249999998,Medial,Trabecular,75,SUP
73,5-10,LateralTrabecular_SUP_75,35.293764875,48.430157125,16.276078000000002,Lateral,Trabecular,75,SUP
74,5-10,AnteriorTrabecular_SUP_75,59.014904125,33.636566375,7.348529375,Anterior,Trabecular,75,SUP
75,5-10,PosteriorTrabecular_SUP_75,42.831720375,47.465168250000005,9.7031115,Posterior,Trabecular,75,SUP
76,5-10,MedialTrabecular_SUP_45,35.078183,45.60428,19.317537125,Medial,Trabecular,45,SUP
77,5-10,LateralTrabecular_SUP_45,35.840249125,46.436956625,17.722794125,Lateral,Trabecular,45,SUP
78,5-10,AnteriorTrabecular_SUP_45,59.5852965,34.339163125,6.07554025,Anterior,Trabecular,45,SUP
79,5-10,PosteriorTrabecular_SUP_45,41.55828325,45.35896875,13.082747625,Posterior,Trabecular,45,SUP
80,5-10,MedialCortical_INF_75,12.8149665,37.550459625,49.63457375,Medial,Cortical,75,INF
81,5-10,LateralCortical_INF_75,1.020694,2.326959375,96.652346625,Lateral,Cortical,75,INF
82,5-10,AnteriorCortical_INF_75,25.03566225,32.335556249999996,42.62878175,Anterior,Cortical,75,INF
